"station","show","show_date","text"
"MSNBC","Morning Joe",2011-08-19 10:00:00,"le's see if we can drum up support pat what do you think of the comments huntsman said call me crazy but i believe in evolution what was the other one global warming climate change le's see if we can drum up support pat what do you think of the comments huntsman said call me crazy but i believe in evolution what was the other one global warming climate change"
"FOX News","The Five",2011-08-23 06:00:00,"they're not necessarily kimberly he believes 98 out of 100 climate scientists say global warming and the republican party you know at risk of becoming the anti eric trying to be the anti perry on the right side bob you are right about the primary electorate for the republicans they believe there is a global warming greg you have to tease out belief on climate change you can believe there is climate change or man made cause climate change is significant or insignificant"
"FOX News","The Five",2011-08-23 21:00:00,"like global warming bob oh gosh eric global warming but you notice liberals went from global warming when they realize it warms and cools once it cooled it was climate change"
"MSNBC","Morning Joe",2011-08-25 10:00:00,"why not i think he's going to do as well as people would invision he's got a lot of problems a lot of skeletons in the closet the rapid job growth in texas a lot of problems on climate change"
"MSNBC","Morning Joe",2011-08-29 10:00:00,"the deep red on the screen is extraordinary drought texas is undergoing a drought to the likes of which they have never experienced you think governor perry would have noticed this by now you know maybe it would have led to a little curiosity about climate change this is what's predicted from climate change the deep red on the screen is extraordinary drought texas is undergoing a drought to the likes of which they have never experienced you think governor perry would have noticed this by now you know maybe it would have led to a little curiosity about climate change this is what's predicted from climate change"
"FOX News","Red Eye",2011-08-30 07:00:00,"excellent as if that is any different well they are actually facts true gore and the climate change denial thing gore and the climate change denial thing margaret you said if you don't agree with us you are a racist i agree and i do think democrats need 20 pick a crazy uncle and stick with him i would pick biden because he is more fun but gore wasn't saying climate change skeptics were racist"
"FOX News","The Five",2011-08-30 21:00:00,"normal responses to bad stuff like natural disasters the real mental illness comes from other factors the study seems to imply if you were a little more green people wouldn't be so ill so it makes me think climate change doesn't cause mental illness mental illness causes climate change hysteria"
"CNN","Piers Morgan Tonight",2011-09-08 01:00:00,"and what's really doubly absurd about it rick perry's state is on fire okay it's now experiencing the worst tragically the worst wildfires in its history which fits in exactly with the predictions of climate change that the hots will get hotter the droughts will get longer the witnesses will get wetter you get these extremes in temperature it's happening under his nose climate change and what's really doubly absurd about it rick perry's state is on fire okay it's now experiencing the worst tragically the worst wildfires in its history which fits in exactly with the predictions of climate change that the hots will get hotter the droughts will get longer the witnesses will get wetter you get these extremes in temperature it's happening under his nose climate change"
"CNN","Piers Morgan Tonight",2011-09-08 07:00:00,"and what's really doubly absurd about it rick perry's state is on fire okay it's now experiencing the worst tragically the worst wildfires in its history which fits in exactly with the predictions of climate change that the hots will get hotter the droughts will get longer the wets will get wetter you get these extremes in temperature it's happening under his nose climate change"
"MSNBC","Way Too Early With Willie Geist",2011-09-08 09:30:00,"more than the next two states oklahoma and virginia combined that's since the death penalty was restored in 1976 the combined total for oklahoma and virginia a mere 205 executions let's huddle up around the water cooler to get more rick perry you can't get enough he was the real star of the debate last night talking about climate change and science he continued his skepticism of the science of climate change asked if he believes that climate change is actually happening more than the next two states oklahoma and virginia combined that's since the death penalty was restored in 1976 the combined total for oklahoma and virginia a mere 205 executions let's huddle up around the water cooler to get more rick perry you can't get enough he was the real star of the debate last night talking about climate change and science he continued his skepticism of the science of climate change asked if he believes that climate change is actually happening"
"MSNBC","Hardball With Chris Matthews",2011-09-08 21:00:00,"galileo got outvoted for a spell yeah that's a saturday night live takeoff i think anyway seems like dan quayle working there and defense against climate change galileo got outvoted for a spell yeah that's a saturday night live takeoff i think anyway seems like dan quayle working there and defense against climate change that's a saturday night live takeoff i think anyway seems like dan quayle working there and defense against climate change what could we be getting at comparing to the climate change skeptics buy galileo or comparing himself to galileo"
"CNN","CNN Newsroom",2011-09-18 22:00:00,"endoctrine nate they are holding up peace signs they are excited king crab invasion is this a sign of climate change endoctrine nate they are holding up peace signs they are excited king crab invasion is this a sign of climate change"
"CNN","John King USA",2011-09-27 23:00:00,"climate change is real human activity plays a role in these changes when you have over 90 of the world scientists who have studied this data and the climate change occurring and humans play a contributing role it is time to defer to the experts that would be another tough sell correct here is how i describe climate change climate change is real human activity plays a role in these changes when you have over 90 of the world scientists who have studied this data and the climate change occurring and humans play a contributing role it is time to defer to the experts that would be another tough sell correct here is how i describe climate change and into that vacuum jumps i would argue romney because romney by being sort of the slow the steady guy maybe the person that lots of republicans are now thinking who can beat barack obama because romney can actually make the race about barack obama by not being exciting or controversial one more on the issues climate change which the conservatives again is a tough one here is chris christie sounding forgive me governor like al gore climate change is real and into that vacuum jumps i would argue romney because romney by being sort of the slow the steady guy maybe the person that lots of republicans are now thinking who can beat barack obama because romney can actually make the race about barack obama by not being exciting or controversial one more on the issues climate change which the conservatives again is a tough one here is chris christie sounding forgive me governor like al gore climate change is real"
"CNN","John King USA",2011-09-28 03:00:00,"and into that vacuum jumps i would argue romney because romney by being sort of the slow the steady guy maybe the person that lots of republicans are now thinking who can beat barack obama because romney can actually make the race about barack obama by not being exciting or controversial one more on the issues climate change which the conservatives again is a tough one here is chris christie sounding forgive me governor like al gore climate change is real and into that vacuum jumps i would argue romney because romney by being sort of the slow the steady guy maybe the person that lots of republicans are now thinking who can beat barack obama because romney can actually make the race about barack obama by not being exciting or controversial one more on the issues climate change which the conservatives again is a tough one here is chris christie sounding forgive me governor like al gore climate change is real"
"MSNBC","MSNBC Live",2011-09-28 15:00:00,"i want every child in new jersey to be educated but for those who came here illegally we should not be subsidizing with taxpayer money through in state tuition from my perspective that is not a heartless position that is a common sense position perhaps christie is trying to get ahead of his critics on this issue now look at climate change"
"MSNBC","Up W Chris Hayes",2011-10-08 11:00:00,"actually say no to you've got to get the money from somewhere so polluters maybe should pay this is i went to the heartland conference the annual climate change denial conference in washington d.c this year and you know they talk about climate change being a marxist plot why because in order to respond to climate change their ideology is challenged"
"CNN","AM Wake Up Call",2011-10-17 09:00:00,"and another system through the great lakes and denver daytime highs today will be 61 in chicago 67 in new york city much cooler air will be rolling into the eastern two thirds of the country as we get toward the middle and end part of the week climate change christine and another system through the great lakes and denver daytime highs today will be 61 in chicago 67 in new york city much cooler air will be rolling into the eastern two thirds of the country as we get toward the middle and end part of the week climate change christine"
"MSNBC","Martin Bashir",2011-10-28 19:00:00,"if more i'm joined by my colleague and host mr chris hayes himself in a casually dressed attire there is a story moving right now the latest example of mitt romney's flip flopping this on climate change here's the progress video we don't know what's causing climate change on this planet if more i'm joined by my colleague and host mr chris hayes himself in a casually dressed attire there is a story moving right now the latest example of mitt romney's flip flopping this on climate change here's the progress video we don't know what's causing climate change on this planet"
"FOX News","Special Report With Bret Baier",2011-10-28 22:00:00,"thank you nasa has a new satellite to watch the planet's weather delta 2 rocket carrying the satellite took off this morning in california the satellite will relay data that should allow scientists to improve forecast of hurricanes and other extreme weather and monitor climate change"
"MSNBC","Meet the Press",2011-10-31 06:00:00,"i mean romney is the one who should apologize to his base because i mean he's flipped on core issues i mean this is not about more information on abortion or stem cell i mean this week i was trying to count this week the collective bargaining issue in ohio climate change i mean romney is the one who should apologize to his base because i mean he's flipped on core issues i mean this is not about more information on abortion or stem cell i mean this week i was trying to count this week the collective bargaining issue in ohio climate change"
"MSNBC","Morning Joe",2011-11-09 11:00:00,"i think we should call it climate change that's exactly right it is climate change it is warming and what's interesting one of the biggest skeptics in this country professor at the university of california berkeley just released a report a couple of weeks ago saying i was a skeptic i didn't believe there was real warming i looked at the data it's there it's real they were right i couldn't punch holes in the data there's climate change let us have a debate on exactly what's causing the climate change that's fine i think we should call it climate change that's exactly right it is climate change it is warming and what's interesting one of the biggest skeptics in this country professor at the university of california berkeley just released a report a couple of weeks ago saying i was a skeptic i didn't believe there was real warming i looked at the data it's there it's real they were right i couldn't punch holes in the data there's climate change let us have a debate on exactly what's causing the climate change that's fine"
"CNN","Your Money",2011-11-12 18:00:00,"right now 8,000 wells through the aquifer surely laying a pipeline over the aquifer won't have the impact of drilling through it the point is that argument makes no sense it's not true this is an argument for climate change zell ots worried this new pipeline is game over for climate change right now 8,000 wells through the aquifer surely laying a pipeline over the aquifer won't have the impact of drilling through it the point is that argument makes no sense it's not true this is an argument for climate change zell ots worried this new pipeline is game over for climate change"
"MSNBC","Up W Chris Hayes",2011-11-13 13:00:00,"that's hydrofrack natural gas i put all of these issues together i really do take climate change seriously the iea came out a few days ago saying we have five years to stem the tide of climate change man's biggest enemy is climate change that's hydrofrack natural gas i put all of these issues together i really do take climate change seriously the iea came out a few days ago saying we have five years to stem the tide of climate change man's biggest enemy is climate change"
"MSNBC","Morning Joe",2011-11-14 11:00:00,"what was your conclusion our conclusion was that none of these effects actually had altered the data it wasn't clear to me that this would be the answer and so i think i'm proper was called a skeptic there is climate change what was your conclusion our conclusion was that none of these effects actually had altered the data it wasn't clear to me that this would be the answer and so i think i'm proper was called a skeptic there is climate change"
"CNN","The Situation Room With Wolf Blitzer",2011-11-18 21:00:00,"this is a 21 year old u.n program clearing up trav at the local level is note depth and breathed of what's inside of agenda 21 any u.n program that existed over 20 years has a growth and a spread that should be looked at the u.n is a big issue for conservatives and republicans climate change is a big man made climate change really is a conspiracy big issue for conservatives"
"MSNBC","The Daily Rundown",2011-11-21 14:00:00,"on climate change he cut this ad with former house speaker nancy pelosi we don't always see eye to eye do we newt no but we do agree our country must take action to address climate change on climate change he cut this ad with former house speaker nancy pelosi we don't always see eye to eye do we newt no but we do agree our country must take action to address climate change"
"CNN","Piers Morgan Tonight",2011-11-26 08:00:00,"to take a position of denial with regard to climate change but if you are being really forgiving ubd at least say all right it's a relatively new we know less about climate change than about evolution we understand more about evolution than we do about gravity nobody questions gravity when you see these tea party candidates and they're against evolution and climate change"
"CNN","World Business Today",2011-11-29 09:00:00,"male announcer trade commission free for 60 days plus get up to 600 when you open an account welcome back to world business today as policymakers gather in durban to talk about climate change the skies above south africa have unleashed some of the worst weather of the year let's go to ivan cabrera with more on that it's all about climate change plus get up to 600 when you open an account welcome back to world business today as policymakers gather in durban to talk about climate change the skies above south africa have unleashed some of the worst weather of the year let's go to ivan cabrera with more on that it's all about climate change getting a bit of extreme climate change on their own"
"CNN","The Situation Room With Wolf Blitzer",2011-11-30 21:00:00,"announcer now get a 250 airfare credit plus save up to 65 call 1 800 sandals certain restrictions apply in south africa an artist paints a banner outside the u.n climate change conference announcer now get a 250 airfare credit plus save up to 65 call 1 800 sandals certain restrictions apply in south africa an artist paints a banner outside the u.n climate change conference"
"MSNBC","The Last Word",2011-12-01 03:00:00,"a very condescending a bit testy gets maybe overly testy pop some pop corps cause it's getting good climate change abortion immigration gay rights a very condescending a bit testy gets maybe overly testy pop some pop corps cause it's getting good climate change abortion immigration gay rights"
"MSNBC","Morning Joe",2011-12-01 11:00:00,"really it was his frustration with the line of questioning he was getting from bear on fox on fox climate change abortion immigration gay rights really it was his frustration with the line of questioning he was getting from bear on fox on fox climate change abortion immigration gay rights"
"MSNBC","The Last Word",2011-12-02 03:00:00,"after a disastrous romney interview appearance on fox news jon huntsman was quick to exploit it how can voters trust what they hear from you today is what you will believe if you win the white house well brett your list is just not accurate so one we're going to have to be better informed about my views on issues different issues climate change so one we're going to have to be better informed about my views on issues different issues climate change i believe basically what i read is the world is getting warmer and number two i believe that humans contribute to that we don't know what's causing climate change on this planet after a disastrous romney interview appearance on fox news jon huntsman was quick to exploit it how can voters trust what they hear from you today is what you will believe if you win the white house well brett your list is just not accurate so one we're going to have to be better informed about my views on issues different issues climate change so one we're going to have to be better informed about my views on issues different issues climate change i believe basically what i read is the world is getting warmer and number two i believe that humans contribute to that we don't know what's causing climate change on this planet"
"MSNBC","The Last Word",2011-12-02 06:00:00,"well brett your list is just not accurate so one we're going to have to be better informed about my views on issues different issues climate change i believe basically what i read is the world is getting warmer and number two i believe that humans contribute to that we don't know what's causing climate change on this planet well brett your list is just not accurate so one we're going to have to be better informed about my views on issues different issues climate change i believe basically what i read is the world is getting warmer and number two i believe that humans contribute to that we don't know what's causing climate change on this planet"
"MSNBC","Up W Chris Hayes",2011-12-03 12:00:00,"you have famously newt gingrich sitting in a love seat with nancy pelosi talking about the problems of climate change i was just looking at a video of gingrich and senator kerry standing together gingrich talking about how serious climate change is and that a new green conservatism must be developed now in the last days you have him saying we don't know humans have anything to do with climate change we don't know what causes climate change you have famously newt gingrich sitting in a love seat with nancy pelosi talking about the problems of climate change i was just looking at a video of gingrich and senator kerry standing together gingrich talking about how serious climate change is and that a new green conservatism must be developed now in the last days you have him saying we don't know humans have anything to do with climate change we don't know what causes climate change reporter first chris congratulations on your new baby let's talk about what's really important we even got word in durban south africa that's really important because of what she could face that's what climate change is about"
"FOX News","Justice With Judge Jeanine",2011-12-04 05:00:00,"chase sapphire preferred a card of a different color call the number on your screen or visit our website to apply i want to follow up a little on the appearance with nancy pelosi yes and climate change"
"FOX News","The Five",2011-12-04 10:00:00,"male announcer trade commission free for 60 days plus get up to 600 when you open an account little on the appearance with nancy pelosi yes and climate change"
"FOX News","FOX and Friends Sunday",2011-12-04 11:00:00,"dave radioactive clayton radioactive anytime you're sitting on a set next to nancy pelosi the message gets lost seems as if he was supporting the policy alisyn the idea of climate change we'll hear more about his stance on the climate change ahead"
"MSNBC","Hardball With Chris Matthews",2011-12-05 22:00:00,"so that's really how i would size up a debate between the two of them but this is i think you're being kind i think you're being kind well i'm a kind person i think newt gingrich was out there campaigning for climate change action on climate change in that tv ad with speaker pelosi"
"FOX News","FOX and Friends",2011-12-12 11:00:00,"are they doing the same things that we're doing to reduce those emissions steve we got a little clip here a statement from todd stern the u.s climate negotiator he says this is a very significant package none of us like everything in it believe me there is plenty the united states is not thrilled about but we are talking about climate change and climate change is it settled science"
"FOX News","The Five",2011-12-14 22:00:00,"can you believe it believe it or not it is he put most of the lights up himself andrea yeah right dana aren't you concerned about climate change"
"FOX News","The Five",2011-12-15 22:00:00,"on the right we want someone to beat obama probably hate it andrea polls say that mitt romney is most electable if you are a flip floper on issues or climate change"
"MSNBC","Up W Chris Hayes",2012-01-01 13:00:00,"some are modernizing what do you mean conservatives are in tune with the equality and mobility climate change also yeah climate change and class structure some are modernizing what do you mean conservatives are in tune with the equality and mobility climate change also yeah climate change and class structure"
"CNN","CNN Saturday Morning",2012-01-07 11:00:00,"right we certainly could global warming is a misnomer not that all temperature are warm what we see major global climate change right we certainly could global warming is a misnomer not that all temperature are warm what we see major global climate change"
"CNN","State of the Union",2012-01-08 14:00:00,"newt gingrich has said out on the campaign trail that the single dumbest thing he ever did was sit down on that couch and make an ad with you i'm nancy pelosi life long democrat and speaker of the house and i'm newt gingrich life long republican and i used to be speaker about climate change newt gingrich has said out on the campaign trail that the single dumbest thing he ever did was sit down on that couch and make an ad with you i'm nancy pelosi life long democrat and speaker of the house and i'm newt gingrich life long republican and i used to be speaker about climate change"
"CNN","CNN Saturday Morning",2012-01-14 11:00:00,"warmer than that tomorrow the heat is on in some areas 15 degrees above average the dichotomy between 15 degrees above average and 15 degrees below is what we have seen this season the global climate change extremes warmer than that tomorrow the heat is on in some areas 15 degrees above average the dichotomy between 15 degrees above average and 15 degrees below is what we have seen this season the global climate change extremes"
"MSNBC","Up W Chris Hayes",2012-01-14 12:00:00,"you know what relieves that feeling doing something exactly and i turn on the bulls game this is my challenge for climate change you know what relieves that feeling doing something exactly and i turn on the bulls game this is my challenge for climate change media coverage of climate change stories are down according to daily climate.org you can see the spike in 2007 that is mt goramanjara that is solely a thousand percent due to al gore's film convenient truth part of the problem of course here is it's a very abstract story the epa is trying to bring climate change home absolutely and what we need to be doing in the way of adaptation as well as mitigation but unfortunately the sort of forces of climate change denial i don't call them skeptic some call them climate change concept ticks skep skeptics media coverage of climate change stories are down according to daily climate.org you can see the spike in 2007 that is mt goramanjara that is solely a thousand percent due to al gore's film convenient truth part of the problem of course here is it's a very abstract story the epa is trying to bring climate change home absolutely and what we need to be doing in the way of adaptation as well as mitigation but unfortunately the sort of forces of climate change denial i don't call them skeptic some call them climate change concept ticks skep skeptics"
